NUM,OUT_DM,RATIO_6H_srmx,RATIO_12H_srmx,RATIO_24H_srmx,RATIO_48H_srmx,newpeople_srmx,Total_people1_srmx,Total_people2_srmx,Total_people3_srmx,Total_edwin_srmx,Total_people_srmx
---,------,-------------,--------------,--------------,--------------,--------------,------------------,------------------,------------------,----------------,-----------------
469,2021-08-16 00:01:00.667,0.55640804393428889,0.32502249992387017,0.15525798087140544,2.5715370388591251E-2,6.5794087738095275,3.9839342318088322,13.971061429378874,26.021764681412495,2.7692339468708476E-3,94.125677978041608
470,2021-08-16 01:01:00.593,0.56473943068195631,0.33736209843985354,0.15594530949891924,2.5768382746870204E-2,6.6473784920163252,3.4854084774531433,13.499785231672522,25.391794729073883,1.263527268287538E-3,33.895981318202111
471,2021-08-16 02:01:01.690,0.61186073958903764,0.3818000643885055,0.15721556024504041,2.6436094785971097E-2,5.6878942655170048,3.4197469670215468,14.189773788762929,27.899285459084055,1.7099905001166288E-4,51.951814982553671
472,2021-08-16 03:01:00.677,0.63136776783899451,0.41625880547426203,0.15983943450602936,2.6570864195739105E-2,5.4121196293438221,3.6187332653824873,14.596987331574423,27.761940201973204,2.2850249133828305E-4,48.91426473871222
473,2021-08-16 04:01:00.667,0.71051018215599637,0.46450787525256287,0.16333928221725597,2.6631738481128785E-2,5.6475480221393077,4.2171334787678161,16.567163516318342,26.666187229420654,3.7940046511879447E-2,84.44054220244368
474,2021-08-16 05:01:00.670,0.74204818793879168,0.49904743484758241,0.16723825447514551,2.6941513702004611E-2,6.4500697391337889,4.3447578670672353,17.504737064887149,27.530831722580416,0.29870929934536317,63.570924115297842
475,2021-08-16 06:01:00.690,0.69759060385348182,0.49991560753831477,0.16650772089729318,2.6634843917696178E-2,6.4172824977527556,4.2920800494727382,17.945138551435996,29.189618880251643,0.24923618338627837,58.953400594133164
476,2021-08-16 07:01:00.700,0.69955244883302881,0.50879502077808669,0.16806312193007122,2.6699978138789476E-2,6.4498544346655171,4.5486370067052864,18.173398246456731,29.716464125281995,0.25426316264138338,60.871473391421183
477,2021-08-16 08:01:00.700,0.71997619795027912,0.52613332192405105,0.17170134844636128,0.02746344026733883,5.9148597727551362,4.7790334473121234,19.262760900626859,33.34872911479016,0.20726791295689079,56.506582431175048
478,2021-08-16 09:01:00.713,0.63313272041660618,0.48625980327889329,0.16892199975578992,2.6985842777461973E-2,8.313231144357454,4.9305011396994862,20.533935196833433,38.945516926205258,0.27159861938222574,67.660830919252916
479,2021-08-16 10:01:00.723,0.63393984821463178,0.4557437823781435,0.17096628529505384,2.6890547931959313E-2,7.4460078771661404,4.8804960995801077,22.5434376590445,40.153877640550363,0.24818413627805186,73.00998855255375
480,2021-08-16 11:01:00.753,0.6245144645813665,0.43062840555765819,0.169630838895476,2.6868752530299835E-2,7.7698705562574633,4.8044338898087444,23.016820093149338,42.872710080039234,0.23447301719273597,70.969949874140909
481,2021-08-16 12:01:00.770,0.68450154154723275,0.42525234307552218,0.17144356307628783,0.02740483451699852,7.99294209122227,4.9556251052721061,24.345590300846197,40.720167201774416,0.1825489679828049,77.366253114833199
482,2021-08-16 13:01:00.780,0.64732219925433232,0.40646769771506175,0.17230442764741583,2.7567808980045808E-2,9.8195229410040383,4.7904050309683681,22.844922214522303,39.37835641454096,0.18525200793433327,79.894833137071288
483,2021-08-16 14:01:00.777,0.58800685283954501,0.36407883707545469,0.1644845860508389,2.6447906579595233E-2,7.9303951573380731,4.9009175282082094,21.628167903047689,39.416845072126399,0.172841034018405,78.696927716693395
484,2021-08-16 15:01:00.810,0.55117407082327885,0.31792120083644354,0.16287328734165685,2.5673487927415476E-2,9.8717652895928207,4.6855638170577176,20.029942746159371,37.080140590195981,0.16797630571075664,85.61103852883312
485,2021-08-16 16:01:00.803,0.54984654289375912,0.30224920097919034,0.1641665138435523,2.5177770552101453E-2,8.1463547380568713,4.6541893883220578,19.781769439833266,36.216183703164546,0.1783337358782868,82.462439774910109
486,2021-08-16 17:01:00.807,0.52928091322276627,0.30144711310880978,0.16270015978201682,2.5063687473797672E-2,8.3622476194331021,4.07739862057708,19.045402453395845,34.972083591356835,0.18144466737566645,79.037007861566835
487,2021-08-16 18:01:00.833,0.51404512136799496,0.30216452187560644,0.16277947992591021,2.4823035520128222E-2,7.9535851587862991,3.9098725344654315,18.622353690294275,33.194076132096129,0.17919306436144522,80.156949995538582
488,2021-08-16 19:01:00.820,0.5221101975923752,0.30421614694020849,0.16137770991335218,2.4737736196102873E-2,7.5577931414417376,3.7714763447634518,18.848443630981254,34.411098135090192,0.21315301749476251,80.656243818850925
489,2021-08-16 20:01:00.830,0.52829483595436599,0.31417733252443303,0.16121278983214152,2.4969298651000497E-2,7.2468117257048084,3.9189070366521412,18.850605740786182,34.052888113786238,0.24743625826956203,73.796603113706425
490,2021-08-16 21:01:00.840,0.53236530294284545,0.31666044829226492,0.15796628721931677,0.02480533930996226,8.4333487604987045,3.9733192482680972,18.144498399472734,32.718550829348011,0.2140344993057065,70.898866970598647
491,2021-08-16 22:01:00.853,0.51767422093626969,0.32216192372754304,0.15842300905936643,2.4934657007843142E-2,7.4652838657513723,4.1492399350090698,18.558463813457418,32.339931634017532,0.20483139492477703,71.091493454657552
492,2021-08-16 23:01:00.860,0.55843437822971354,0.3623109344224692,0.16121571077690353,2.5051881517759708E-2,6.902167553799476,0.44481621539847804,4.7708322914731998,9.2744511653721649,0.0,12.810922902864164
