NUM,OUT_DM,RATIO_6H_lstm,RATIO_12H_lstm,RATIO_24H_lstm,RATIO_48H_lstm,newpeople_lstm,Total_people1_lstm,Total_people2_lstm,Total_people3_lstm,Total_edwin_lstm,Total_people_lstm
---,------,-------------,--------------,--------------,--------------,--------------,------------------,------------------,------------------,----------------,-----------------
639,2021-08-23 02:01:00.237,0.27556967999999998,0.19899144999999999,0.16751838999999999,2.5864334999999999E-2,9.4209859999999992,5.8141603000000002,20.650618000000001,60.922356000000001,0.86102500000000004,88.300910000000002
640,2021-08-23 03:01:00.263,0.65797852999999995,0.43721320000000002,0.20941661,0.038478907,4.687875,2.1541657000000001,14.193325,40.814064000000002,0.37654771999999997,58.620026000000003
640,2021-08-23 03:01:00.263,0.65061723999999999,0.42879492000000002,0.22702945999999999,0.01991207,8.0283029999999993,3.6177456000000001,14.542624,55.294784999999997,0.48683484999999999,74.256640000000004
641,2021-08-23 04:01:00.263,0.61443440000000005,0.40130514,0.23049877999999999,2.0220220000000001E-2,12.358005,3.5489380000000001,13.462799,56.826152999999998,0.46645635000000002,74.7303
642,2021-08-23 05:01:00.260,0.55689889999999997,0.41144799999999998,0.2289786,3.7321918000000003E-2,8.4549520000000005,3.9591630000000002,10.404873,50.294589999999999,0.36185315000000001,64.459280000000007
643,2021-08-23 06:01:00.283,0.53415349999999995,0.38749783999999998,0.22375028,2.5730335999999999E-2,9.2354000000000003,3.3769205000000002,9.7689904999999992,46.364544000000002,0.35545280000000001,59.397469999999998
644,2021-08-23 07:01:00.300,0.53939325000000005,0.4243015,0.23836207000000001,2.5465379999999999E-2,12.070850999999999,2.1625736,10.213979999999999,50.894832999999998,0.37592128000000002,62.789875000000002
645,2021-08-23 08:01:00.307,0.57667860000000004,0.45918680000000001,0.24954197,2.8004116999999999E-2,9.3197469999999996,2.4461621999999998,9.9218600000000006,54.648110000000003,0.41540497999999998,65.960250000000002
646,2021-08-23 09:01:00.320,0.6797166,0.5162641,0.29131671999999997,3.5626480000000002E-2,7.6120989999999997,2.3772479999999998,11.366476,53.515827000000002,0.45336372000000003,66.777789999999996
647,2021-08-23 10:01:00.337,0.65180634999999998,0.51868349999999996,0.29076766999999998,3.8519713999999997E-2,5.7819399999999996,3.1014862000000001,14.064011000000001,56.306891999999998,0.43438549999999998,72.093559999999997
648,2021-08-23 11:01:00.347,0.62936519999999996,0.52981060000000002,0.31162532999999998,4.7507229999999998E-2,3.3393052000000001,3.5111317999999998,16.869488,55.996814999999998,0.46511459999999999,84.675963999999993
649,2021-08-23 12:01:00.347,0.54278590000000004,0.47130610000000001,0.28415786999999998,4.2835930000000001E-2,2.3795036999999999,4.4517040000000003,16.561910000000001,56.317489999999999,0.5057256,80.435559999999995
650,2021-08-23 13:01:00.367,0.34386387000000002,0.34386387000000002,0.28503808000000003,5.2397395999999999E-2,8.5787820000000004,5.4582777,27.43927,60.688020000000002,1.5308348000000001,130.19401999999999
651,2021-08-23 14:01:00.383,0.59146189999999998,0.38095119999999999,0.27844456000000001,5.7926416000000001E-2,6.7674430000000001,5.8789473000000001,18.392765000000001,66.668610000000001,0.40424349999999998,82.205920000000006
652,2021-08-23 15:01:00.357,0.45668333999999999,0.3339086,0.26035900000000001,6.0337689999999999E-2,16.587337000000002,4.2374314999999996,16.779982,80.001419999999996,0.36069889999999999,74.647580000000005
653,2021-08-23 16:01:00.397,1.5836755,0.36364533999999998,0.25894647999999998,9.7999989999999995E-2,10.515848999999999,5.8425946,19.556045999999998,74.501649999999998,0.39929458000000001,110.84113000000001
654,2021-08-23 17:01:00.400,1.2055515999999999,0.37358740000000001,0.26322928000000001,0.14474224999999999,13.058275999999999,6.3944729999999996,33.302889999999998,93.399185000000003,0.74799806000000002,141.19215
655,2021-08-23 18:01:00.397,0.43897393000000001,0.27651870000000001,0.24880488000000001,7.0912180000000005E-2,21.19211,3.9155669999999998,26.365015,94.750079999999997,0.47369169999999999,92.322500000000005
656,2021-08-23 19:01:00.407,0.39014080000000001,0.27085530000000002,0.26233980000000001,7.8583630000000002E-2,16.815584000000001,5.4987307000000003,30.370687,109.66585000000001,0.61758405000000005,158.23418000000001
657,2021-08-23 20:01:00.427,0.29671111999999999,0.29671111999999999,0.29671111999999999,9.8144259999999997E-2,12.646699,6.8642992999999999,52.398229999999998,107.00892,1.0631112,187.97752
658,2021-08-23 21:01:00.447,0.45190594000000001,0.36230289999999998,0.36230289999999998,0.12635265000000001,8.789237,6.1679399999999998,40.767440000000001,64.734499999999997,0.55108729999999995,120.669014
659,2021-08-23 22:01:00.447,1.1714495,0.36086547000000002,0.36086547000000002,0.1378443,1.2647577999999999,5.7494440000000004,28.181010000000001,46.170516999999997,0.36923474000000001,100.35095
660,2021-08-23 23:01:00.473,0.21537555999999999,0.21537555999999999,0.21537555999999999,6.3936085000000004E-2,8.7969439999999999,10.836342999999999,211.91519,124.794426,2.4499909999999998,402.42559999999997
661,2021-08-24 00:01:00.457,0.15620144999999999,0.15620144999999999,0.15620144999999999,4.6764392000000002E-2,11.735442000000001,13.684841,343.66608000000002,170.70320000000001,4.1713743000000001,523.20154000000002
662,2021-08-24 01:01:00.443,0.71595589999999998,0.47744049999999999,0.21059565,8.5704660000000002E-2,8.6121339999999993,2.2933655000000002,15.085527000000001,28.385002,0.27210995999999998,46.510292
663,2021-08-24 02:01:00.453,0.57310550000000005,0.38343185000000002,0.22612674999999999,0.10051436,6.4870567000000001,2.5061550000000001,18.008199999999999,31.935946000000001,0.38547003000000002,53.782409999999999
